Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
Mudasir Zafar,11/29/1986,alive,,,"Sur – The Melody of Life, My Friend Pinto, Student of the Year 2","Mudasir Zafar,alive"
Mukesh Batra,7/1/1951,alive,,,"Dharma Yuddham, Apoorva Sagodharargal, Iruvar","Mukesh Batra,alive"
Mukesh Khanna,6/23/1958,alive,,,"Mohabbatein, Tumko Na Bhool Paayenge, Dil Hi Dil Mein","Mukesh Khanna,alive"
Mukesh Rishi,4/19/1956,alive,,,"Charlie Chaplin, Youth","Mukesh Rishi,alive"
Mukri,1/5/1922,9/4/2000,,,"Dil Diya Hai, The Train, Zilla Ghaziabad","Mukri, 4 September 2000"
Mukul Dev,9/17/1970,alive,,,"Baazi, Aar Paar, Jaal","Mukul Dev,alive"
Mulraj Rajda,11/13/1931,9/23/2012,,,"Liar's Dice, Moothon","Mulraj Rajda, 23 September 2012"
Murali Sharma,8/9/1972,alive,,,"Bommarillu, Jaane Tu... Ya Jaane Na, Ready","Murali Sharma,alive"
Naga Chaitanya,11/23/1986,alive,,,"Kalyug, Sholay, Khuda Gawah","Naga Chaitanya,alive"
Nana Palshikar,3/21/1905,6/1/1984,,,"Carry On Jatta, Singh vs Kaur, Lucky Di Unlucky Story","Nana Palshikar, 1 June 1984"
Nana Patekar,1/1/1951,alive,,,"Mungaru Male, Edegarike, KGF Chapter 1","Nana Patekar,alive"
Naresh Kanodia,8/20/1943,10/27/2020,,,"Nagarahaavu, Karmika Kallanalla","Naresh Kanodia, 27 October 2020"
Naseeruddin Shah,7/20/1950,alive,,,"Nishant, Manthan, Swami","Naseeruddin Shah,alive"
Naveen Polishetty,12/26/1989,alive,,,"Ramaiya Vastavaiya, Loveshhuda, Pyaar Ka Punchnama 2","Naveen Polishetty,alive"
Navin Nischol,3/18/1946,3/19/2011,,,"Karan Arjun, Dilwale Dulhania Le Jayenge, Josh","Navin Nischol, 19 March 2011"
Nawazuddin Siddiqui,5/19/1974,alive,,,"Autograph, Vellithirai, Kana Kandaen","Nawazuddin Siddiqui,alive"
Nazir Hussain,5/15/1922,10/16/1987,,,"Satya, Sarfarosh, OMG – Oh My God!","Nazir Hussain, 16 October 1987"
Neeraj Vora,1/22/1963,12/14/2017,,,"Nanda Loves Nanditha, Anandhapurathu Veedu, Kanthaswamy","Neeraj Vora, 14 December 2017"
Neil Nitin Mukesh,1/15/1982,alive,,,"Sholay, Brahmachari, Anand","Neil Nitin Mukesh,alive"
Nikkhil Advani,4/28/1971,alive,,,"Dor, Manorama Six Feet Under, Straight","Nikkhil Advani,alive"
Nilu Phule,4/4/1930,7/13/2009,,,"Ram Lakhan, Sadak, Yes Boss","Nilu Phule, 13 July 2009"
Nimai Bali,3/21/1969,alive,,,"Khamoshiyan, Wajah Tum Ho, Paltan","Nimai Bali,alive"
Nitish Bharadwaj,6/2/1963,alive,,,"Pyaasa, Kaagaz Ke Phool, Sahib Bibi Aur Ghulam","Nitish Bharadwaj,alive"
Om Puri,10/18/1950,1/6/2017,,,"Desamuduru, Mappillai, Aranmanai 2","Om Puri, 6 January 2017"
Omi Vaidya,1/10/1982,alive,,,"Jhinder Bandi, Baikunther Will, Ganga","Omi Vaidya,alive"
Paidi Jairaj,9/28/1909,8/11/2000,,,"Kanagavel Kaaka, Ugramm, Ricky","Paidi Jairaj, 11 August 2000"
Pankaj Berry,1/8/1956,alive,,,"Gunda, Andaaz Apna Apna, Mr. India","Pankaj Berry,alive"
Pankaj Kapoor,5/29/1954,alive,,,"Love Story 2050, Victory, What's Your Raashee?","Pankaj Kapoor,alive"
Pankaj Tripathi,9/28/1976,alive,,,"Style, Pyaar Mein Kabhi Kabhi, Company","Pankaj Tripathi,alive"
Parambrata Chatterjee,6/27/1980,alive,,,"Bepannah, Kis Desh Mein Hai Meraa Dil, Tere Liye","Parambrata Chatterjee,alive"
Paresh Ganatra,2/19/1965,alive,,,"Mirzya, Bhavesh Joshi Superhero, AK vs AK","Paresh Ganatra,alive"
Paresh Rawal,5/30/1955,alive,,,"Sanam Teri Kasam, Taish","Paresh Rawal,alive"
Parikshat Sahni,1/1/1944,alive,,,"Bodyguard, Billa","Parikshat Sahni,alive"
Pavan Malhotra,7/2/1958,alive,,,"Kumari 21F, Ekkadiki Pothavu Chinnavada","Pavan Malhotra,alive"
Piyush Mishra,1/13/1963,alive,,,"Sholay, Dream Girl, Seeta Aur Geeta","Piyush Mishra,alive"
Prabhas,10/23/1979,alive,,,"Adventures of Tarzan, Commando","Prabhas,alive"
Prabhu Deva,4/3/1973,alive,,,"Tere Sheher Mein, Jijaji Chhat Per Hain","Prabhu Deva,alive"
Pradeep Kumar,1/4/1925,11/3/2001,,,"Yaariyan, Dil Jo Na Keh Saka","Pradeep Kumar, 3 November 2001"
Prakash Raj,3/26/1965,alive,,,"Tum Bin, Haasil","Prakash Raj,alive"
Prateik Babbar,11/28/1986,alive,,,"Tere Naam, Aap Kaa Surroor","Prateik Babbar,alive"
Pratik Gandhi,4/29/1980,alive,,,"Yeh Rishta Kya Kehlata Hai, Bigg Boss","Pratik Gandhi,alive"
Praveen Kumar,10/2/1986,alive,,,"Besharam, Shaadi Ke Side Effects","Praveen Kumar,alive"
Prem Chopra,9/23/1935,alive,,,"The Xpose, Zorawar","Prem Chopra,alive"
Prem Kishen,7/5/1953,alive,,,"Kaho Naa Pyaar Hai, Krrish, War","Prem Kishen,alive"
Prem Nath,11/21/1926,11/3/1992,,,"Gangs of Wasseypur, Dedh Ishqiya","Prem Nath, 3 November 1992"
Prithviraj Kapoor,11/3/1906,5/29/1972,,,"Bol, Raja Natwarlal","Prithviraj Kapoor, 29 May 1972"
Prithviraj Sukumaran,10/16/1982,alive,,,"Hum Dono, Johar Mehmood in Hong Kong","Prithviraj Sukumaran,alive"
Priyanshu Chatterjee,2/20/1973,alive,,,"Deewar, Amar Akbar Anthony","Priyanshu Chatterjee,alive"
Pramod Chakravorty,8/15/1929,12/12/2004,,,"Barfi!, Rustom","Pramod Chakravorty, 12 December 2004"
Prosenjit Chatterjee,9/30/1962,alive,,,"Jaane Tu... Ya Jaane Na, Delhi Belly","Prosenjit Chatterjee,alive"
Pulkit Samrat,12/29/1983,alive,,,"Filmistaan, Jolly LLB 2","Pulkit Samrat,alive"
Puneet Issar,11/6/1959,alive,,,"Kahin Pyaar Na Ho Jaaye, Wanted","Puneet Issar,alive"
Punit Pathak,11/1/1986,alive,,,"Kahaani, Satyagraha","Punit Pathak,alive"
R. Madhavan,6/1/1970,alive,,,"Slumdog Millionaire, The Lunchbox, Life of Pi","R. Madhavan,alive"
Raaj Kumar,10/8/1926,7/3/1996,,,"Prema Kavali, Srimannarayana","Raaj Kumar, 3 July 1996"
Raghubir Yadav,6/25/1957,alive,,,"Thattathin Marayathu, Kaamyaab","Raghubir Yadav,alive"
Rahil Azam,9/25/1981,alive,,,"Beyond the Clouds, Dhadak","Rahil Azam,alive"
Rahul Bose,7/27/1967,alive,,,"Drishyam, Firangi","Rahul Bose,alive"
Rahul Dev,9/27/1968,alive,,,"Pyaar Ka Punchnama, Sonu Ke Titu Ki Sweety","Rahul Dev,alive"
Rahul Roy,2/9/1968,alive,,,"Sixteen, Purani Jeans","Rahul Roy,alive"
Rahul Varun,10/5/1993,alive,,,"Vennira Aadai, Aayirathil Oruvan","Rahul Varun,alive"
Raj Arjun,2/8/1972,alive,,,"Haqeeqat, Dil Toh Baccha Hai Ji","Raj Arjun,alive"
Raj Babbar,6/23/1952,alive,,,"Hero, Parinda, Rangeela, Devdas","Raj Babbar,alive"
Raj Kapoor,12/14/1924,6/2/1988,,,"F.A.L.T.U, Mitron","Raj Kapoor, 2 June 1988"
Raj Mehra,5/20/1913,6/15/1905,,,"Kick, Judwaa 2","Raj Mehra, 1993"
Raj Zutshi,2/4/1961,alive,,,"Sholay, Andaz Apna Apna","Raj Zutshi,alive"
Rajat Bedi,1/1/1970,alive,,,"Hum Aapke Hain Koun..!, Main Prem Ki Diwani Hoon","Rajat Bedi,alive"
Rajat Kapoor,2/11/1961,alive,,,"Dhadak, Gunjan Saxena: The Kargil Girl","Rajat Kapoor,alive"
Rajeev Khandelwal,10/16/1975,alive,,,"Phulwa, Tu Aashiqui","Rajeev Khandelwal,alive"
Rajeev Mehta,6/14/1957,alive,,,"Dil Se Dil Tak, Naagin 4","Rajeev Mehta,alive"
Rajendra Gupta,10/17/1947,alive,,,"Happy Phirr Bhag Jayegi, Panga","Rajendra Gupta,alive"
Rajendra Kumar,7/20/1927,7/12/1999,,,"Sacred Games, Darbar","Rajendra Kumar, 12 July 1999"
Rajendra Nath,6/8/1931,2/13/2008,,,"Meri Jung, Salaam Namaste, Dhamaal","Rajendra Nath, 13 February 2008"
Rajendranath Zutshi,2/4/1961,alive,,,"Hate Story 2, Desi Kattey","Rajendranath Zutshi,alive"
Rajesh Khanna,12/29/1942,7/18/2012,,,"Raja Ki Aayegi Baraat, Jeevan Yudh","Rajesh Khanna, 18 July 2012"
Rajesh Khattar,9/24/1966,alive,,,"Guddi, Abhimaan","Rajesh Khattar,alive"
Rajesh Khera,10/26/1968,alive,,,"Sargam, Tohfa","Rajesh Khera,alive"
Rajesh Vivek,1/31/1949,1/14/2016,,,"Rathinirvedam, Prathikaaram","Rajesh Vivek, 14 January 2016"
Rajinikanth,12/12/1950,alive,,,"Mullum Malarum, Moondru Mudichu","Rajinikanth,alive"
Rajit Kapur,5/22/1960,alive,,,"Jyothi, Adavi Ramudu","Rajit Kapur,alive"
Rajkummar Rao,8/31/1984,alive,,,"Farz, Tohfa, Himmatwala, Justice Chaudhury","Rajkummar Rao,alive"
Rajneesh Duggal,11/19/1979,alive,,,"Beyhadh, Bepannah","Rajneesh Duggal,alive"
Rajpal Yadav,3/16/1971,alive,,,"Neerja, Padmaavat","Rajpal Yadav,alive"
Raju Kher,9/11/1957,alive,,,"Mohabbatein, Munna Bhai M.B.B.S., Tanu Weds Manu","Raju Kher,alive"
Raju Srivastav,12/25/1963,9/21/2022,,,"Barfi!, Piku, Manikarnika: The Queen of Jhansi","Raju Srivastav, 21 September 2022"
Rakesh Bapat,9/1/1978,alive,,,"TVF Pitchers, Shubh Mangal Zyada Saavdhan","Rakesh Bapat,alive"
Rakesh Bedi,12/1/1954,alive,,,"Jannat, Gajendra","Rakesh Bedi,alive"
Rakesh Roshan,9/6/1949,alive,,,"Dhoom, Zinda, New York, Satyameva Jayate","Rakesh Roshan,alive"
Ram Charan,3/27/1985,alive,,,"Baazigar, Dilwale, Judaai, Hera Pheri","Ram Charan,alive"
Ram Kapoor,9/1/1973,alive,,,"The Breakup Song, Dil Diyan Gallan","Ram Kapoor,alive"
Ramesh Deo,1/30/1929,2/2/2022,,,"Love in Tokyo, Shagird","Ramesh Deo, 2 February 2022"
Rana Daggubati,12/14/1984,alive,,,"Masoom, Papa Kahte Hain","Rana Daggubati,alive"
Ranbir Kapoor,9/28/1982,alive,,,"Rooh Ki Awaaz, Gunaah","Ranbir Kapoor,alive"
Randeep Hooda,8/20/1976,alive,,,"Qayamat Se Qayamat Tak, Darr","Randeep Hooda,alive"
Randhir Kapoor,2/15/1947,alive,,,"Chandramukhi, Mozhi","Randhir Kapoor,alive"
Ranjeet,9/13/1942,alive,,,"Devdas, Bhakta Surdas","Ranjeet,alive"
Ranveer Singh,7/6/1985,alive,,,"Bees Saal Baad, Woh Kaun Thi?","Ranveer Singh,alive"
Rashid Khan,9/20/1998,alive,,,Khoon Bhari Ma,"Rashid Khan,alive"
Ravi Kale,10/28/1973,alive,,,"Baap Numbri Beta Dus Numbri, Aankhen, Coolie","Ravi Kale,alive"
Ravi Kishan,7/17/1969,alive,,,"Grand Masti, Khatta Meetha","Ravi Kishan,alive"
Raza Murad,11/23/1950,alive,,,"Magadheera, Singham","Raza Murad,alive"
Razzak Khan,3/28/1951,6/1/2016,,,"Dilwale Dulhania Le Jayenge, Kuch Kuch Hota Hai","Razzak Khan, 1 June 2016"
Rishi Kapoor,9/4/1952,4/30/2020,,,"Dev.D, Yeh Jawaani Hai Deewani","Rishi Kapoor, 30 April 2020"
Riteish Deshmukh,12/17/1978,alive,,,"Pyar Kiye Jaa, Man Ka Meet","Riteish Deshmukh,alive"
Rohan Mehra,4/8/1990,alive,,,"Sharapanjara, Belli Moda","Rohan Mehra,alive"
Rohit Roy,4/5/1968,alive,,,"Chemmeen, Vidheyan","Rohit Roy,alive"
Rohit Saraf,12/8/1996,alive,,,"Lawaaris, Himmatwala","Rohit Saraf,alive"
Rohitash Gaud,3/24/1966,alive,,,"Baazi, Gateway of India","Rohitash Gaud,alive"
Ronit Roy,10/11/1965,alive,,,"Hello, Ranarangam","Ronit Roy,alive"
Roopesh Kumar,1/16/1946,,,,"Deshdrohi, Ek Villain","Roopesh Kumar,"
Sachin Khedekar,5/14/1965,alive,,,"Nayagan, Hey Ram, Chachi 420","Sachin Khedekar,alive"
Sachin Pilgaonkar,8/17/1957,alive,,,"Shaan, Deewar","Sachin Pilgaonkar,alive"
Saeed Jaffrey,1/8/1929,11/15/2015,,,"Anand, Gamyam","Saeed Jaffrey, 15 November 2015"
Saif Ali Khan,8/16/1970,alive,,,"Neecha Nagar, Biraj Bahu","Saif Ali Khan,alive"
Salim Ghouse,1/10/1952,4/28/2022,,,"Queen, Tanu Weds Manu","Salim Ghouse, 28 April 2022"
Salim Khan,11/24/1935,alive,,,"Kis Kisko Pyaar Karoon, Firangi","Salim Khan,alive"
Salman Khan,12/27/1965,alive,,,"Wedding Pullav, 3 Dev","Salman Khan,alive"
Salman Yusuff Khan,6/12/1985,alive,,,"Dilwale Dulhania Le Jayenge, Kuch Kuch Hota Hai","Salman Yusuff Khan,alive"
Sanjay Dutt,7/29/1959,alive,,,"Sultanat, Loha","Sanjay Dutt,alive"
Sanjay Kapoor,10/17/1965,alive,,,"Horror Story, 1921","Sanjay Kapoor,alive"
Sanjay Khan,1/3/1941,alive,,,"City of Gold, Shootout at Wadala","Sanjay Khan,alive"
Sanjay Suri,4/6/1971,alive,,,"Hate Story 3, Alone","Sanjay Suri,alive"
Sanjeev Kumar,7/9/1938,11/6/1985,,,"Daawat-e-Ishq, Hate Story 4","Sanjeev Kumar, 6 November 1985"
Sanjeev Tyagi,6/29/1971,alive,,,"Kismat Konnection, Mumbai 125 KM","Sanjeev Tyagi,alive"
Sarath Babu,7/31/1951,alive,,,"Jab We Met, Kabhi Khushi Kabhie Gham, Veere Di Wedding","Sarath Babu,alive"
Satish Kaul,9/8/1946,4/10/2021,,,"Dil To Pagal Hai, Raja Hindustani, Biwi No.1","Satish Kaul, 10 April 2021"
Satish Kaushik,4/13/1956,3/9/2023,,,Luck,"Satish Kaushik, 9 March 2023"
Satish Shah,6/25/1951,alive,,,Ragini MMS Returns,"Satish Shah,alive"
Saurabh Shukla,3/5/1963,alive,,,"Sanju, Grand Masti, Qayamat Ki Raat","Saurabh Shukla,alive"
Sayaji Shinde,1/13/1959,alive,,,"Dhamaal, Double Dhamaal","Sayaji Shinde,alive"
Shadaab Khan,9/20/1973,alive,,,"Ko, Paiyaa","Shadaab Khan,alive"
Shafi Inamdar,10/23/1945,3/13/1996,,,"Sonu Ke Titu Ki Sweety, Pyaar Ka Punchnama","Shafi Inamdar, 13 March 1996"
Shah Rukh Khan,11/2/1965,alive,,,"Yes Boss, Jungle","Shah Rukh Khan,alive"
Shahid Kapoor,2/25/1981,alive,,,"Ek Tha Tiger, Jab Tak Hai Jaan, Zindagi Na Milegi Dobara","Shahid Kapoor,alive"
Shaheer Sheikh,3/26/1984,alive,,,Vadakkum Nathan,"Shaheer Sheikh,alive"
Shakti Kapoor,9/3/1952,alive,,,"Mizhi Randilum, Meesa Madhavan","Shakti Kapoor,alive"
Shammi Kapoor,10/21/1931,8/14/2011,,,"Black Friday, Haider","Shammi Kapoor, 14 August 2011"
Shankar Nag,11/9/1954,9/30/1990,,,Kavaludaari,"Shankar Nag, 30 September 1990"
Sharad Kapoor,2/13/1976,alive,,,"Mahanati, Nenu Local, Remo","Sharad Kapoor,alive"
Sharat Saxena,8/17/1950,alive,,,"Bibaho Diaries, Vinci Da","Sharat Saxena,alive"
Sharman Joshi,4/28/1979,alive,,,"Annamalai, Chinna Thambi, Mannan","Sharman Joshi,alive"
Shashi Kapoor,3/18/1938,12/4/2017,,,"Kabir Singh, Good Newwz, Lust Stories","Shashi Kapoor, 4 December 2017"
Shatrughan Sinha,4/16/2022,alive,,,"Karan Arjun, Hum Aapke Dil Mein Rehte Hain","Shatrughan Sinha,alive"
Sheikh Mukhtar,12/24/1914,5/12/1980,,,Om Jai Jagadish,"Sheikh Mukhtar, 12 May 1980"
Shiney Ahuja,5/15/1973,alive,,,"Tezaab, Khuda Gawah","Shiney Ahuja,alive"
Shishir Sharma,1/10/1955,alive,,,"Gemini, Anbe Sivam","Shishir Sharma,alive"
Shivaji Satam,4/21/1950,alive,,,"Rang De Basanti, Devdas, Om Shanti Om","Shivaji Satam,alive"
Shreyas Talpade,1/27/1976,alive,,,"Pink, Mission Mangal, The Girl On The Train","Shreyas Talpade,alive"
Shriram Lagoo,11/16/1927,12/17/2019,,,"Padosan, Chalti Ka Naam Gaadi","Shriram Lagoo, 17 December 2019"
Siddhant Chaturvedi,4/29/1993,alive,,,"Fashion, Wake Up Sid","Siddhant Chaturvedi,alive"
Siddharth Ray,7/19/1963,3/8/2004,,,"Hemlock Society, Highway","Siddharth Ray, 8 March 2004"
Sidhant Gupta,4/23/1989,alive,,,Ek Khiladi Ek Haseena,"Sidhant Gupta,alive"
Sidharth Malhotra,1/16/1985,alive,,,"Page 3, Mr. and Mrs. Iyer, Omkara","Sidharth Malhotra,alive"
Sidharth Shukla,12/12/1980,9/2/2021,,,"Aradhana, Amar Akbar Anthony","Sidharth Shukla, 2 September 2021"
Sikandar Kher,10/31/1981,alive,,,"Housefull 4, Pagalpanti, Shaadi Mein Zaroor Aana","Sikandar Kher,alive"
Sohail Khan,12/20/1970,alive,,,"Dilwale, Bareilly Ki Barfi, Luka Chuppi","Sohail Khan,alive"
Sonu Sood,7/30/1973,alive,,,"Mitron, Tumhari Sulu, Reporters","Sonu Sood,alive"
Sooraj Pancholi,11/9/1990,alive,,,"Belan Wali Bahu, Fittrat","Sooraj Pancholi,alive"
Subrat Dutta,11/16/1975,alive,,,"Shatranj Ke Khiladi, Jaane Bhi Do Yaaro","Subrat Dutta,alive"
Sudeep,9/2/1973,alive,,,C.A.T.S.,"Sudeep,alive"
Sudesh Berry,7/20/1960,alive,,,"Love Story, Teri Kasam","Sudesh Berry,alive"
Sudhanshu Pandey,8/22/1974,alive,,,"Tezaab, Jaan Ki Baazi","Sudhanshu Pandey,alive"
Sudhir Dalvi,3/20/1939,alive,,,"Kalyug, Go Goa Gone","Sudhir Dalvi,alive"
Sudhir Pandey,12/22/1953,alive,,,"Kaal, Lakshya","Sudhir Pandey,alive"
Sujit Kumar,2/7/1934,2/5/2010,,,"Dheena, Pithamagan","Sujit Kumar, 5 February 2010"
Sumeet Vyas,7/27/1983,alive,,,"Anaganaga O Dheerudu, Gundello Godari","Sumeet Vyas,alive"
Sumeet Raghavan,4/22/1971,alive,,,"Bhagam Bhag, Don 2, No Entry","Sumeet Raghavan,alive"
Suniel Shetty,8/11/1961,alive,,,"ABCD, Welcome To Karachi","Suniel Shetty,alive"
Sunil Dutt,6/6/1929,5/25/2005,,,"Soggade Chinni Nayana, Bhale Bhale Magadivoy","Sunil Dutt, 25 May 2005"
Sunil Grover,8/3/1977,alive,,,Hunterwali,"Sunil Grover,alive"
Sunil Lahri,1/9/1961,alive,,,"Ashi Hi Banwa Banwi, Dhadakebaaz","Sunil Lahri,alive"
Sunil Pal,5/2/1975,alive,,,"Duniya Na Mane, Bandhan","Sunil Pal,alive"
Sunny Deol,10/19/1956,alive,,,Anamika,"Sunny Deol,alive"
Sunny Kaushal,9/28/1989,alive,,,"Zubeidaa, Monsoon Wedding, The Lunchbox","Sunny Kaushal,alive"
Surendra Pal,9/25/1953,alive,,,"Water, Kasoor","Surendra Pal,alive"
Suresh Oberoi,12/17/1946,alive,,,"Gandhi, Ek Tha Tiger","Suresh Oberoi,alive"
Suriya,7/23/1975,alive,,,"Deewar, Don","Suriya,alive"
Sushant Singh,3/9/1972,alive,,,"Mughal-e-Azam, Chalti Ka Naam Gaadi","Sushant Singh,alive"
Sushant Singh Rajput,1/21/1986,6/14/2020,,,"Malgudi Days, Nadiya Ke Paar","Sushant Singh Rajput, 14 June 2020"
Swapnil Joshi,10/18/1977,alive,,,"Oru Kal Oru Kannadi, Panchathanthiram, Anbe Sivam","Swapnil Joshi,alive"
Tahir Raj Bhasin,4/21/1987,alive,,,"Good Boy Bad Boy, Pyaar Impossible, Tum Milo Toh Sahi","Tahir Raj Bhasin,alive"
Tarun Bose,9/28/1928,3/8/1972,,,"Dil To Pagal Hai, Devdas, Hum Aapke Hain Koun, Tezaab","Tarun Bose, 8 March 1972"
Tej Sapru,1/5/1955,alive,,,"Aptharakshaka, Veera Madakari, Aa Dinagalu, Jiddu","Tej Sapru,alive"
Thakur Anoop Singh,3/23/1989,alive,,,"Baby, Hamari Adhuri Kahani, Naam Shabana, Chanakyudu","Thakur Anoop Singh,alive"
Tiger Shroff,3/2/1990,alive,,,"Aa Okkadu, Shadow, Mahankali, Temper","Tiger Shroff,alive"
Tiku Talsania,6/7/1954,alive,,,"Dahan, Ek Je Aachhe Kanya, Jukti Takko Aar Gappo, Mrigaya","Tiku Talsania,alive"
Tinnu Anand,10/12/1945,alive,,,"Sarfarosh, Mangal Pandey","Tinnu Anand,alive"
Tom Alter,6/22/1950,9/29/2017,,,"Wanted, Main Aurr Mrs Khanna, Jai Veeru, Nayee Padosan","Tom Alter, 29 September 2017"
Tota Roy Chowdhury,7/9/1976,alive,,,"Haqeeqat, Upkaar","Tota Roy Chowdhury,alive"
Trilok Kapoor,2/11/1912,9/23/1988,,,"Shahenshah, Coolie No. 1","Trilok Kapoor, 23 September 1988"
Tusshar Kapoor,11/20/1976,alive,,,"Kaante, Slumdog Millionaire","Tusshar Kapoor,alive"
Uday Chopra,1/5/1973,alive,,,"Dev.D, Saheb, Biwi Aur Gangster, Paan Singh Tomar, Gulaal","Uday Chopra,alive"
Upen Patel,8/16/1982,alive,,,"Mardaani 2, Hostages, F.I.R, Taarak Mehta Ka Ooltah Chashmah","Upen Patel,alive"
Upendra Limaye,11/8/1969,alive,,,"Chitralekha, Jai Santoshi Maa","Upendra Limaye,alive"
Upendra Trivedi,7/14/1936,1/4/2015,,,"Raees, Verna, Bin Roye, Superstar","Upendra Trivedi, 4 January 2015"
Utpal Dutt,3/29/1929,8/19/1993,,,"Bancharamer Bagan, Amar Kantak, Nidhiram Sardar, Sare Chuattar","Utpal Dutt, 19 August 1993"
Uttam Kumar,9/3/1926,7/24/1980,,,"Anpadh, Gumrah, Dil Tera Deewana, Jahan Ara","Uttam Kumar, 24 July 1980"
Varun Badola,1/7/1974,alive,,,"Dil Se, Kaal, Dabangg, Munni Badnaam Hui, Housefull 2","Varun Badola,alive"
Varun Dhawan,4/24/1987,alive,,,"Gharana Alludu, Golimaar, Huchcha, Khiladi, Rani Maharani","Varun Dhawan,alive"
Varun Sharma,2/4/1990,alive,,,"Naanu Avanalla...Avalu, Kotigobba 2, Sankashta Kara Ganapathi, The Villain","Varun Sharma,alive"
Vicky Kaushal,5/16/1988,alive,,,"Beyond the Clouds, Master, Pattam Pole, Petta","Vicky Kaushal,alive"
Victor Banerjee,10/15/1946,alive,,,"Murder, Pyaar Ke Side Effects, Hisss, Welcome, Double Dhamaal","Victor Banerjee,alive"
Vidyut Jammwal,12/10/1980,alive,,,"Border, Raja Ki Aayegi Baraat","Vidyut Jammwal,alive"
Vijay Arora,12/27/1944,2/2/2007,,,"Amaram, Drishyam","Vijay Arora, 2 February 2007"
Vijay Raaz,6/5/1963,alive,,,"Karan Arjun, Baazi, Krantiveer, China Gate","Vijay Raaz,alive"
Vijay Varma,3/29/1986,alive,,,"Anwar, Celluloid, Kadha Thudarunnu, My Boss, Thadayara Thakka","Vijay Varma,alive"
Viju Khote,12/17/1941,9/30/2019,,,"Sultaan, Fashion","Viju Khote, 30 September 2019"
Vikrant Massey,4/3/1987,alive,,,"Tumhari Sulu, Wazir","Vikrant Massey,alive"
Vinay Anand,3/23/1978,alive,,,Kesari,"Vinay Anand,alive"
Vinay Pathak,7/27/1968,alive,,,"Roy, Bhaag Johnny, Main Aur Charles, Kyaa Kool Hain Hum 3","Vinay Pathak,alive"
Vinod Khanna,10/6/1946,4/27/2017,,,"Dilwale Dulhania Le Jayenge, Ittefaq, Saaho, The Tashkent Files","Vinod Khanna, 27 April 2017"
Vinod Mehra,2/13/1945,10/30/1990,,,"Rocket Singh: Salesman of the Year, Jannat 2, Satyagraha, Mickey Virus, Bombay Velvet, Sarbjit, Raees, Baazaar","Vinod Mehra, 30 October 1990"
Virendra Saxena,11/23/1951,alive,,,"Om Shanti Om, Fashion, Yeh Jawaani Hai Deewani","Virendra Saxena,alive"
Vishal Kotian,2/13/1979,alive,,,"Mickey Virus, Tere Bin Laden: Dead or Alive, Baa Baaa Black Sheep, Banjo, Marudhar Express","Vishal Kotian,alive"
Vishwajeet Pradhan,9/11/1965,alive,,,"Dil Se, Bombay, Khamoshi: The Musical, 1942: A Love Story, Mann","Vishwajeet Pradhan,alive"
Vivan Bhatena,10/28/1978,alive,,,"Jaane Tu... Ya Jaane Na, Faltu, Rok Sako To Rok Lo, Zokkomon","Vivan Bhatena,alive"
Vivek Mushran,8/9/1969,alive,,,"Achcham Yenbadhu Madamaiyada, Oru Vadakkan Selfie","Vivek Mushran,alive"
Vivek Oberoi,9/3/1976,alive,,,"Oye Lucky! Lucky Oye!, Udaan, Student of the Year, Fukrey, What The Fish, Azhar, Fukrey Returns, Dream Girl","Vivek Oberoi,alive"
Yash Tonk,10/30/1971,alive,,,"How Old Are You, Odiyan, Asuran","Yash Tonk,alive"
Zayed Khan,7/5/1980,alive,,,"Boot Polish, Abhiman","Zayed Khan,alive"
Zubeen Garg,11/18/1972,alive,,,"Sholay, Bhumika, Sparsh, Ek Baar Kaho, Mirch Masala","Zubeen Garg,alive"
Aamna Sharif,7/16/1982,alive,,,"Satya, Kaun, Shool, Aks, Zubeidaa, Road, Pinjar, Raajneeti, Gangs of Wasseypur, Special 26, Tevar, Aligarh, Naam Shabana, Aiyaary, Satyameva Jayate, The Family Man","Aamna Sharif,alive"
Aarti Agarwal,3/5/1984,6/6/2023,,,"Upkar, Purab Aur Paschim, Shor, Roti Kapda Aur Makaan, Kranti","Aarti Agarwal, June 6, 2015"
Aarti Chhabria,11/21/1982,alive,,,"Dil Dhadakne Do, Mulk, Article 15, Bala, Shubh Mangal Zyada Saavdhan, Suraj Pe Mangal Bhari","Aarti Chhabria,alive"
Adah Sharma,5/11/1992,alive,,,"Hum Hai Lootere, Raja Babu, Nagin, Zila Ghaziabad, Gunday","Adah Sharma,alive"
Aditi Arya,9/18/1993,alive,,,Prithviraj,"Aditi Arya,alive"
Aditi Govitrikar,5/21/1974,alive,,,Mujhse Fraaandship Karoge,"Aditi Govitrikar,alive"
Aditi Sarangdhar,10/16/1981,alive,,,"Qurbani, Jai Shiv Shankar, Dil Se Mile Dil","Aditi Sarangdhar,alive"
Ahaana Krishna,10/13/1995,alive,,,"Sanam Teri Kasam, Jawani Phir Nahi Ani 2","Ahaana Krishna,alive"
Ahsaas Channa,8/5/1999,alive,,,"Pakeezah, Sahib Bibi Aur Ghulam","Ahsaas Channa,alive"
Aindrita Ray,3/3/1985,alive,,,"Damini, Ghayal","Aindrita Ray,alive"
Aisha Sharma,1/25/1989,alive,,,"Run, Achuvinte Amma","Aisha Sharma,alive"
